"Agent_ID","Cluster","Team_Size","Sprint_Length_Weeks","Commit_Frequency_Per_Day","Security_Debt","Vulnerabilities_Open","Automated_Scan_Coverage"
1,"Cluster 2",23,1,10,39.04,17,61
2,"Cluster 3",50,2,1,69.62,31,44
3,"Cluster 1",10,2,17,21.3,11,80
4,"Cluster 3",48,2,4,74.21,32,40
5,"Cluster 3",53,2,2,74.35,30,46
6,"Cluster 2",27,1,8,52.42,22,55
7,"Cluster 1",12,2,12,16.96,7,96
8,"Cluster 3",52,2,4,81.99,33,33
9,"Cluster 1",9,2,16,17.19,7,91
10,"Cluster 1",13,4,16,12.81,8,87
11,"Cluster 3",53,2,5,70.31,33,52
12,"Cluster 1",6,2,14,19.69,13,81
13,"Cluster 1",7,3,13,23.47,12,75
14,"Cluster 1",10,2,16,23.2,11,82
15,"Cluster 2",28,1,6,36.26,18,69
16,"Cluster 3",54,2,3,79.04,36,37
17,"Cluster 2",24,1,6,44.39,19,59
18,"Cluster 2",24,1,6,47.29,21,56
19,"Cluster 2",17,2,10,47.79,23,64
20,"Cluster 3",47,3,1,74.24,30,50
21,"Cluster 3",53,2,3,74.84,31,44
22,"Cluster 1",9,2,12,16.06,10,83
23,"Cluster 1",9,2,18,12.69,6,95
24,"Cluster 3",42,2,2,72.28,32,50
25,"Cluster 1",6,2,17,21.91,9,78
26,"Cluster 1",13,2,13,21.02,10,94
27,"Cluster 1",8,1,16,8.87,8,86
28,"Cluster 1",4,1,17,19.3,11,82
29,"Cluster 2",22,1,8,46.63,21,61
30,"Cluster 2",28,1,7,40.02,20,73
31,"Cluster 3",44,2,4,75.64,31,42
32,"Cluster 3",48,1,4,81.12,34,36
33,"Cluster 1",13,2,19,28.28,14,66
34,"Cluster 3",50,1,3,76.23,34,44
35,"Cluster 2",23,2,9,43.24,21,66
36,"Cluster 1",4,2,12,13.28,9,86
37,"Cluster 3",51,2,2,80.89,35,30
38,"Cluster 2",24,2,9,43.57,22,55
39,"Cluster 2",25,2,10,52.12,25,51
40,"Cluster 2",32,1,8,44.03,20,57
41,"Cluster 2",23,2,7,35.76,19,65
42,"Cluster 1",12,2,13,21.74,10,86
43,"Cluster 1",13,2,15,18.72,12,92
44,"Cluster 2",28,1,7,50.01,24,62
45,"Cluster 2",22,2,9,34.63,16,72
46,"Cluster 2",26,2,8,48.38,23,66
47,"Cluster 2",30,3,4,50.29,21,59
48,"Cluster 1",12,2,15,23.73,14,86
49,"Cluster 2",27,1,13,50.94,22,60
50,"Cluster 3",43,4,2,91.15,37,29
51,"Cluster 2",30,2,9,44.34,20,64
52,"Cluster 1",10,2,15,26.08,12,78
53,"Cluster 3",52,2,4,78.7,34,39
54,"Cluster 2",28,2,8,52.66,22,65
55,"Cluster 1",5,2,16,17.38,9,87
56,"Cluster 2",31,1,7,44.98,19,63
57,"Cluster 2",27,2,8,50.43,25,53
58,"Cluster 3",48,2,1,79.78,34,33
59,"Cluster 3",51,1,5,69.52,30,44
60,"Cluster 2",27,2,7,47.33,20,65
61,"Cluster 1",11,3,17,16.05,7,89
62,"Cluster 2",25,1,12,44.55,20,64
63,"Cluster 2",17,2,8,35.61,15,73
64,"Cluster 2",27,2,10,43.84,19,59
65,"Cluster 3",46,1,3,79.45,36,35
66,"Cluster 1",8,2,11,17.79,12,79
67,"Cluster 3",53,3,5,71.42,31,42
68,"Cluster 3",51,2,1,64.49,29,50
69,"Cluster 3",48,2,2,91.11,39,30
70,"Cluster 1",10,3,17,16.14,10,87
71,"Cluster 3",52,2,5,74.42,33,52
72,"Cluster 1",8,2,14,11.25,7,99
73,"Cluster 1",13,2,12,20.85,12,83
74,"Cluster 2",33,2,10,33.84,18,81
75,"Cluster 1",7,3,13,20.86,12,91
76,"Cluster 2",31,3,12,49.79,22,60
77,"Cluster 2",26,3,8,39.17,17,71
78,"Cluster 1",11,2,14,13.77,7,91
79,"Cluster 2",22,4,6,48.37,21,64
80,"Cluster 2",23,1,7,46.45,23,64
81,"Cluster 2",22,3,9,40.25,19,73
